identificador_vetor,media_guloso,media_backtracking,qualidade_guloso,qualidade_backtracking,validade_guloso,validade_backtracking,comprimento_vetor
Vetor 1,4.091000118933153e-06,9.857400073087774e-06,2,0,Não,Sim,4
Vetor 2,2.108200169459451e-06,1.899000199045986e-06,0,0,Sim,Sim,6
Vetor 3,2.3036003767629153e-06,2.080200101772789e-06,0,0,Sim,Sim,8
Vetor 4,2.1782003386761063e-06,2.0663997929659673e-06,0,0,Sim,Sim,10
Vetor 5,1.9965998944826422e-06,1.8846001694328152e-06,0,0,Sim,Sim,12
Vetor 6,1.9125998733215964e-06,1.9129998690914364e-06,0,0,Sim,Sim,14
Vetor 7,4.1746003262232986e-06,2.476920035405783e-05,2,0,Não,Sim,16
Vetor 8,4.537799941317644e-06,1.555379985802574e-05,0,0,Sim,Sim,18
Vetor 9,4.468399856705218e-06,3.621800042310497e-05,0,0,Sim,Sim,20
Vetor 10,2.401400161033962e-06,1.7175998436869122e-06,0,0,Sim,Sim,22
